"","ReleaseDate","Title","ProductionBudget","OpeningWeekend","DomesticBox Office","WorldwideBox Office","Trailer","Genre","Running_Time","Keywords","Franchise"
"363","Oct 9, 1992","A River Runs Through It","","","$43,440,294","$43,440,294","","Drama","123 minutes",NA,NA
"364","Aug 14, 1992","Single White Female","","$10,212,401","$48,017,402","$48,017,402","","Thriller/Suspense","107 minutes",NA,NA
"365","Dec 19, 1990","Awakenings","","","$51,636,504","$51,636,504","","Drama","121 minutes","Medical and Hospitals, Doctors",NA
"366","Oct 9, 1987","Someone to Watch Over Me","","$2,908,796","$10,278,549","$10,278,549","","Action","106 minutes","Film Noir",NA
"367","Jun 8, 1984","Ghostbusters","$30,000,000","$13,612,564","$242,212,467","$295,212,467","Play","Adventure","107 minutes","Visual Effects, Possessed, Hauntings, College, Academics, Paranormal Investigation, End of the World, Demons, New York, Supernatural","Ghostbusters"
"368","Dec 8, 1982","Gandhi","$22,000,000","$131,153","$52,767,889","$127,767,889","","Drama","191 minutes","Biography, Non-Chronological, Religious, Oscars Best Picture Winner",NA
"369","Jul 18, 1980","Used Cars","","","$11,715,321","$11,715,321","",NA,"112 minutes",NA,NA
"370","Jun 20, 1980","The Blue Lagoon","$4,500,000","","$47,923,795","$47,923,795","","Drama",NA,NA,NA
"371","Nov 16, 1977","Close Encounters of the Thi…","$20,000,000","","$169,100,479","$340,800,479","Play","Adventure","134 minutes","Friendly Alien on Earth, Visual Effects, First Contact",NA
"372","Apr 28, 1967","Casino Royale","$12,000,000","","$22,744,718","$41,744,718","","Comedy",NA,"Spoof, Same Actor, Multiple Roles, Adapted as a Comedy",NA
"373","Dec 16, 1962","Lawrence of Arabia","$15,000,000","","$37,495,385","$69,995,385","","Adventure","210 minutes","Biography, World War I",NA
"374","Apr 24, 1941","Penny Serenade","","","","","","Drama","117 minutes",NA,NA
"375","Jan 18, 1940","His Girl Friday","","","","","","Drama","92 minutes",NA,NA
"376","","","","","","","",NA,NA,NA,NA
"377","Averages","","$70,213,580","$25,086,490","$89,447,075","$198,968,205","",NA,NA,NA,NA
"378","Totals","183","$11,374,600,000","","$15,474,343,926","$35,217,372,246","",NA,NA,NA,NA
"379","Apr 2, 2021","Fast and Furious 10","","","","","","Action",NA,"Car Chase, Gangs, Organized Crime, Sequels With Returning Stars","Fast and the Furious"
"380","Dec 25, 2020","Sing 2","","","","","","Adventure",NA,NA,NA
"381","Jul 3, 2020","Minions 2","","","","","","Adventure",NA,NA,"Despicable MeMinions"
"382","Jun 7, 2019","The Secret Life of Pets 2","","","","","","Adventure",NA,NA,NA
"383","Mar 15, 2019","Us","","","","","","Thriller/Suspense",NA,NA,NA
"384","Dec 21, 2018","Welcome to Marwen","","","","","Play","Drama",NA,NA,NA
"385","Dec 14, 2018","Mortal Engines","$100,000,000","","","","Play","Action",NA,NA,NA
"386","Nov 9, 2018","Dr. Seuss’ The Grinch","$75,000,000","$67,572,855","$126,544,280","$151,744,280","Play","Adventure","86 minutes","Christmas, Christmas in November, Single Parent, Animal Lead, Widow/Widower, Young Child Dealing with the Death of a Parent, 3-D, Voiceover/Narration",NA
"387","Oct 19, 2018","Halloween","$10,000,000","$76,221,545","$158,814,140","$251,014,140","Play","Horror","105 minutes","Serial Killer, Supernatural, Teenage Slasher, Escape, Mental Hospital, Reboot, Delayed Sequel","Halloween"
"388","Oct 12, 2018","First Man","$60,000,000","$16,006,065","$44,356,310","$96,656,310","Play","Drama","141 minutes","1960s, Space Program, Astronaut, Astrophysics, Biography",NA
"389","Jul 20, 2018","Mamma Mia: Here We Go Again!","","$34,952,180","$120,634,935","$392,999,356","Play","Musical","114 minutes","Prequel, Non-Chronological, Pregnant Women, Romance, Love Triangle, Ensemble, Delayed Sequel","Mamma Mia"
"390","Jul 13, 2018","Skyscraper","$125,000,000","$24,905,015","$67,796,355","$304,103,613","Play","Action","103 minutes","Disaster, Rescue, FBI, Ex-soldier, Amputee, Hong Kong, Terrorism, Framed, Trapped, Domestic Abuse, Hostage, Suicide Bomber, Murder - Suicide, Prologue, Intertitle",NA
"391","Jul 4, 2018","The First Purge","$13,000,000","$17,374,280","$69,086,325","$136,244,120","Play","Horror","97 minutes","Political, Prequel, Serial Killer, Near Future, Dystopia, Class Warfare, Government Corruption, Terrorism","The Purge"
"392","Jun 22, 2018","Jurassic World: Fallen Kingdom","$170,000,000","$148,024,610","$416,769,345","$1,304,866,322","Play","Action","128 minutes","Dinosaurs in the Modern World, Animals Gone Bad, Cloning, Dinosaurs, Prologue, Visual Effects, Voiceover/Narration, Rescue, Death of a Son or Daughter, Surprise Twist, Betrayal, Sequels With Returning Stars, Relationships Gone Wrong, Exes in Love, Romance","Jurassic Park"
"393","May 11, 2018","Breaking In","$6,000,000","$17,630,285","$46,383,120","$50,931,527","Play","Thriller/Suspense","88 minutes","Hostage, Home Invasion, Rescue, Single Parent, Adult Child Dealing with the Death of a Parent, Inheritance, Prologue",NA
"394","Apr 6, 2018","Blockers","$21,000,000","$20,556,350","$59,839,515","$93,470,230","Play","Comedy","102 minutes","Epilogue, Prom, Loss Of Virginity, High School, Sex Comedy, Dysfunctional Family, Interracial Romance, LGBT, Closeted Homosexual, Coming Out, Prologue, Same Role, Multiple Actors, Teenage Sex Comedy, Single Parent, Empty Nest, Graduation, Scene in End Credits",NA
"395","Mar 23, 2018","Pacific Rim: Uprising","$155,000,000","$28,116,535","$59,185,715","$290,241,338","Play","Action","111 minutes","Mecha, Kaiju, 3-D, Ensemble, Father's Footsteps","Pacific Rim"
"396","Feb 9, 2018","Fifty Shades Freed","$55,000,000","$38,560,195","$100,407,760","$371,350,619","Play","Drama","120 minutes","Relationships Gone Wrong, Revenge, Fired, The Past Catching up with You, Sexual Fetishism, Exes in Love, Romance","Fifty Shades of Grey"
"397","Jan 5, 2018","Insidious: The Last Key","$10,000,000","$29,581,355","$67,347,895","$167,488,153","Play","Horror","103 minutes","Supernatural, Hauntings, Haunted House, Screenplay Written By the Star, Prequel, Inbetwequel","Insidious"
"398","Dec 22, 2017","Pitch Perfect 3","$45,000,000","$19,928,525","$104,897,530","$185,736,412","Play","Comedy","93 minutes","Musicians, Singers, Romance, Tournament, Ensemble","Pitch Perfect"
"399","Oct 20, 2017","The Snowman","$35,000,000","$3,372,565","$6,670,765","$43,203,413","Play","Thriller/Suspense","142 minutes","Norway, Serial Killer, Cold Case, Police Procedural",NA
"400","Oct 13, 2017","Happy Death Day","$5,000,000","$26,039,025","$55,683,845","$125,013,000","Play","Horror","96 minutes","College, Murder Mystery, Time Travel, One Day, Development Hell, Horror Comedy",NA
"401","Sep 29, 2017","American Made","$50,000,000","$16,776,390","$51,342,000","$135,547,797","Play","Thriller/Suspense","114 minutes","C.I.A., 1980s, Drug Trafficking, Narcotics, Smuggler, Crime Caper, In a Plane",NA
"402","Jul 21, 2017","Girls Trip","$28,000,000","$31,201,920","$115,108,515","$140,886,353","Play","Comedy","122 minutes","Music Festival, New Orleans, Louisiana, African-American, Road Trip, Girls' Night Out",NA
"403","Jun 30, 2017","Despicable Me 3","$75,000,000","$72,434,025","$264,624,300","$1,034,748,190","Play","Adventure","90 minutes","Child Actor, Heist, Secret Agent, Twins, Separated at Birth, Dysfunctional Family, Sibling Rivalry, 3-D, 3-D - Shot in 3-D, Directing Yourself, Fired, Adopted Family, Same Actor, Multiple Roles, Prologue, 1980s, Revenge, Hollywood, Robot, Intertitle, Step-Family","Despicable Me"
"404","Jun 9, 2017","The Mummy","$195,000,000","$31,668,375","$80,101,125","$409,953,905","Play","Adventure","107 minutes","Reboot, Mummy, Ancient Egypt, Revenge, Monster, 3-D - Shot in 3-D, 3-D - Post-production Conversion, Intertitle, Prologue, England, 1100s, Voiceover/Narration, Non-Chronological, Treasure Hunters, Extreme Weather, Hallucinations, Dead Language","Dark Universe"
"405","Apr 14, 2017","The Fate of the Furious","$250,000,000","$98,786,705","$225,764,765","$1,234,908,020","Play","Action","136 minutes","Sequels Without Their Original Stars, Friends turned Enemies, Car Chase, Terrorism, Enemies Forced to Work Together, Betrayal, Prison, Prison Riot, Ensemble","Fast and the Furious"
"406","Mar 15, 2017","Frantz","","$18,745","$880,883","$7,356,327","","Drama","113 minutes","World War I, Germany, Death of a Spouse or Fiancée / Fiancé, Retro Black and White, Suicide, Suicide Attempt, Voiceover/Narration, 1910s, Bigotry, Depression, Non-Chronological",NA
"407","Feb 24, 2017","Get Out","$5,000,000","$33,377,060","$176,040,665","$255,368,134","Play","Horror","104 minutes","Psychological Horror, Interracial Romance, African-American, Suburbs, Actors Making Their Directorial Debut, Missing Person, Prologue, Magical Technology, Unbelieving Police, Photography, Relationships Gone Wrong, Young Child Dealing with the Death of a Parent, Hit and Run, Hypnotism, Therapists / Therapy, Abusive Therapists",NA
"408","Feb 17, 2017","The Great Wall","$150,000,000","$18,469,620","$45,157,105","$334,550,106","Play","Action","104 minutes","Ancient China, Monster, Song Dynasty, Escape, Visual Effects",NA
"409","Feb 10, 2017","Fifty Shades Darker","$55,000,000","$46,607,250","$114,434,010","$381,437,482","Play","Drama","118 minutes","Romance, Relationships Gone Wrong, Exes in Love, Sexual Fetishism, The Past Catching up with You","Fifty Shades of Grey"
"410","Jan 20, 2017","Split","$5,000,000","$40,010,975","$138,141,585","$278,306,227","Play","Horror","116 minutes","Kidnap, Multiple Personality, Mental Illness, Villain's Point of View, Secret Sequel, Surprise Twist","Unbreakable"
"411","Nov 11, 2016","Almost Christmas","$17,000,000","$15,134,235","$42,065,185","$42,493,506","Play","Drama","107 minutes","Christmas, Christmas in November, Family Reunion, African-American, Dysfunctional Family, Ensemble, Generational Conflict, Widow/Widower, Romance, Divorcée Romance",NA
"412","Oct 21, 2016","Ouija: Origin of Evil","$9,000,000","$14,065,500","$35,144,505","$81,831,866","Play","Horror","99 minutes","Supernatural, Possessed, Prequel, 1960s, Los Angeles, Widow/Widower, Single Parent, Fake Psychics","Ouija"
"413","Oct 14, 2016","Kevin Hart: What Now?","$10,000,000","$11,767,210","$23,591,043","$23,591,043","Play","Concert/Performance","96 minutes","African-American, Stand-Up Comedy, Philadelphia",NA
"414","Sep 16, 2016","Bridget Jones’s Baby","$35,000,000","$8,571,785","$24,139,805","$205,936,537","Play","Romantic Comedy","122 minutes","Delayed Sequel, Sequels Without Their Original Stars, London, Relationships Gone Wrong, Unexpected Pregnancy, Romance","Bridget Jones"
"415","Jul 29, 2016","Jason Bourne","$120,000,000","$59,215,365","$162,192,920","$416,197,059","Play","Action","123 minutes","Sequels With Returning Stars, Secret Agent, Rogue Agent","Bourne"
"416","Jul 8, 2016","The Secret Life of Pets","$75,000,000","$104,352,905","$368,384,330","$886,767,422","Play","Adventure","91 minutes","Animal Lead, Talking Animals, New York City, New York, Slobs vs. Snobs, Missing Pet, Voiceover/Narration, Revenge",NA
"417","Jul 1, 2016","The Purge: Election Year","$10,000,000","$31,515,110","$79,042,440","$118,557,124","Play","Horror","105 minutes","Political, Politicians, Political Campaign, Political Assassination, Survival Horror, Washington, D.C., Government Corruption","The Purge"
"418","Jun 17, 2016","Central Intelligence","$50,000,000","$35,535,250","$127,440,871","$217,196,811","Play","Comedy","114 minutes","High School Hell, Bullies, C.I.A., High School Reunions",NA
"419","Jun 10, 2016","Warcraft","$160,000,000","$24,166,110","$47,225,655","$425,547,111","Play","Action","123 minutes","Sword & Sorcerer, Invented Language, Visual Effects",NA
"420","Jun 3, 2016","Popstar: Never Stop Never S…","$20,000,000","$4,698,715","$9,496,130","$9,537,120","Play","Comedy","86 minutes","Musicians, Pop Music, Music Industry, Spoof, Directing Yourself, Screenplay Written By the Star, Gratuitous Cameos, Comeback, Boy Band, Saturday Night Live, Mockumentary",NA
"421","May 20, 2016","Neighbors 2: Sorority Rising","$35,000,000","$21,760,405","$55,340,730","$108,758,521","Play","Comedy","92 minutes","Neighbors from Hell, College, Fraternity/Sorority, New Parents","Neighbors"
"422","May 13, 2016","Search Party","","$3,073","$4,571","$4,571","","Comedy","93 minutes","Confidence Men, Drug Dealer, Wedding Day Disasters, Honeymoon, Romance, Desert, Mexico",NA
"423","Apr 22, 2016","The Huntsman: Winter’s War","$115,000,000","$19,445,035","$48,003,015","$165,149,302","Play","Action","113 minutes","Prequel, Dwarves, Royalty, Death of a Sibling","Snow White and the Huntsman"
"424","Apr 8, 2016","The Boss","$29,000,000","$23,586,645","$63,077,560","$78,652,395","Play","Comedy","99 minutes","Riches to Rags, Life on the Outside, White Collar Crime, Single Parent, Comeback, Bad Role Models, Screenplay Written By the Star, Family Affair",NA
"425","Mar 25, 2016","My Big Fat Greek Wedding 2","$18,000,000","$17,861,950","$59,689,605","$92,092,715","Play","Comedy","94 minutes","Delayed Sequel, Relationships Gone Wrong","My Big Fat Greek Wedding"
"426","Feb 5, 2016","Hail, Caesar!","$22,000,000","$11,355,225","$30,080,225","$64,171,419","Play","Comedy","100 minutes","Movie Business, Film Actor, Kidnap, Ransom, Private Investigator, Investigative Journalist, Media Circus, 1950s, Ensemble",NA
"427","Jan 15, 2016","Ride Along 2","$40,000,000","$35,243,095","$90,862,685","$124,827,316","Play","Comedy","102 minutes","Undercover, Miami, Atlanta, Georgia, Narcotics, Organized Crime","Ride Along"
"428","Dec 18, 2015","Sisters","$30,000,000","$13,922,855","$87,044,645","$106,030,660","Play","Comedy","117 minutes","You Can't Go Home Again, Parties Gone Wild",NA
"429","Dec 4, 2015","Krampus","$15,000,000","$16,293,325","$42,725,475","$61,788,393","Play","Black Comedy","98 minutes","Christmas, Dysfunctional Family, Demons, Non-Chronological, Animated Sequences, Slow Motion Scene, Killer Inanimate Objects, Living Toys, Horror Comedy",NA
"430","Nov 20, 2015","Legend","$25,000,000","$86,836","$1,872,994","$42,642,077","Play","Thriller/Suspense","131 minutes","Twins, Same Actor, Multiple Roles, Organized Crime, London, United Kingdom, 1960s, Voiceover/Narration, Suicide",NA
"431","Nov 10, 2015","Ronaldo","","","","$294,455","","Documentary",NA,NA,NA
"432","Oct 23, 2015","Jem and the Holograms","$5,000,000","$1,375,320","$2,184,640","$2,368,937","Play","Musical","118 minutes","Musicians, Singers, Internet, Big Break, Orphan, Young Child Dealing with the Death of a Parent, Inventor, Robot, Live Action Cartoon",NA
"433","Sep 18, 2015","Everest","$65,000,000","$7,222,035","$43,482,270","$221,835,496","Play","Thriller/Suspense","121 minutes","Mountain Climbing, Extreme Sports, Disaster, 3-D, 3-D - Shot in 3-D, Extreme Weather, Digital Cinematography",NA
"434","Jul 10, 2015","Minions","$74,000,000","$115,718,405","$336,045,770","$1,162,781,621","Play","Adventure","91 minutes","Prequel, Origin Story, Prehistoric Times, Dinosaurs, Ancient Egypt, Pirates, Vampire, 1960s, Inventor, Royalty, London, Voiceover/Narration, Directing Yourself, Same Actor, Multiple Roles, Super Villains, Cavemen, Intertitle, New York City, Antarctica, Orlando, Florida, Florida","Despicable MeMinions"
"435","Jun 12, 2015","Jurassic World","$215,000,000","$208,806,270","$652,270,625","$1,648,893,208","Play","Action","124 minutes","Animals Gone Bad, Development Hell, Dinosaurs, Cloning, Delayed Sequel, Military Stealing New Invention, Children Dealing with Divorce, Dysfunctional Family, Directing Yourself, Intertitle, Gratuitous Cameos, Director Cameo, Dinosaurs in the Modern World","Jurassic Park"
"436","Apr 3, 2015","Furious 7","$190,000,000","$147,163,560","$353,007,020","$1,518,722,794","Play","Action","137 minutes","Car Chase, Gangs, Revenge, Death of a Sibling, Posthumous Release, Intertitle, Prologue, Faulty Memory, Coma, Archival Footage of Previous Installment, PTSD, Sequels With Returning Stars, Hackers, Epilogue, Voiceover/Narration, Non-Chronological, Heist","Fast and the Furious"
"437","Nov 1, 2013","About Time","$12,000,000","$1,076,250","$15,323,921","$89,309,178","Play","Romantic Comedy","123 minutes","Time Travel, Romance, Voiceover/Narration, Father's Footsteps, Relationships Gone Wrong",NA
"438","Sep 20, 2013","Rush","$38,000,000","$187,289","$26,947,624","$98,230,839","Play","Drama","123 minutes","Auto Racing, Biography, Medical and Hospitals, Comeback, Professional Rivalry",NA
"439","Sep 6, 2013","Riddick","$38,000,000","$19,030,375","$42,025,135","$94,763,758","Play","Action","119 minutes","Marooned, Bounty Hunter, Revenge, Delayed Sequel, Non-Chronological, Voiceover/Narration, Slow Motion Scene, Sex Crimes","Riddick"
"440","Aug 23, 2013","The World's End","$20,000,000","$8,811,790","$26,004,851","$47,508,505","Play","Comedy","109 minutes","Voiceover/Narration, Prologue, Intertitle, Twins, Robot, Alien Invasion, Epilogue, Mid-Life Crisis, One Night, End of the World, Non-Chronological, Screenplay Written By the Star, Suicide Attempt","Three Flavours Cornetto Trilogy"
"441","Aug 16, 2013","Kick-Ass 2","$28,000,000","$13,332,955","$28,795,985","$63,129,909","Play","Action","103 minutes","Young Child Dealing with the Death of a Parent, Revenge, Accidental Death, False Identity, Organized Crime, Vigilante, Sequels Without Their Original Stars, Out of Retirement, Ensemble, Marvel Comics, Sex Crimes, Wrongfully Convicted","Kick-Ass"
"442","Aug 2, 2013","2 Guns","$61,000,000","$27,059,130","$75,612,460","$132,493,015","Play","Action","109 minutes","Narcotics, DEA Agent, Navy, Organized Crime, Undercover, Special Ops, Corrupt Cops, Government Corruption, Heist, Surprise Twist",NA
"443","Jul 19, 2013","R.I.P.D.","$130,000,000","$12,691,415","$33,618,855","$79,076,678","Play","Action","98 minutes","Hauntings, Friendly Ghost, Buddy Cop, End of the World, Dark Horse Comics, 3-D",NA
"444","Jul 3, 2013","Despicable Me 2","$76,000,000","$84,227,980","$368,065,385","$975,216,835","Play","Adventure","98 minutes","Secret Agent, Romance, First Love, Relationships Gone Wrong, Mad Scientist, Adopted Family, Scene in End Credits, Coming of Age, Non-Chronological, Fantasy Sequence, Love at First Sight, Interspecies Romance, Sequel With Returning Stars Playing New Characters, Letting Go, 3-D","Despicable Me"
"445","May 24, 2013","Fast and Furious 6","$160,000,000","$97,375,245","$238,679,850","$789,300,444","Play","Action","130 minutes","Car Chase, Gangs, Organized Crime, Sequels With Returning Stars, Prequel, Inbetwequel, Archival Footage of Previous Installment, Faulty Memory, Intertitle, Voiceover/Narration, Corrupt Cops, Cliffhanger Ending, Scene in End Credits","Fast and the Furious"
"446","Apr 19, 2013","Oblivion","$120,000,000","$37,054,485","$89,107,235","$287,916,633","Play","Thriller/Suspense","125 minutes","Post Apocalypse, Surprise Twist, Government Corruption, Alien Invasion, Visual Effects, Digital Cinematography, Faulty Memory, Prologue, Voiceover/Narration, Dream Sequence, Cabin in the Woods",NA
"447","Feb 8, 2013","Identity Thief","$35,000,000","$34,551,025","$134,506,920","$175,361,578","Play","Comedy","147 minutes","White Collar Crime, Confidence Men, Road Trip, Stolen Identity",NA
"448","Jan 18, 2013","Mama","$15,000,000","$28,402,310","$71,628,180","$148,095,566","Play","Horror","109 minutes","Intertitle, Spree Killer, Suicide, Murder - Suicide, Prologue, Voiceover/Narration, Kidnap, Cabin in the Woods, Hauntings, Punk Rock, Musicians, Twins, Dream Sequence, Same Actor, Multiple Roles, Young Child Dealing with the Death of a Parent, Abandoned Child, Unexpected Families, Director Remaking Their Own Movie",NA
"449","Dec 25, 2012","Les Miserables","$65,000,000","$27,281,735","$148,809,770","$442,169,052","Play","Musical","158 minutes","Revolution, Romance, First Love, Love Triangle, Poverty, Political, Orphan, Cross-Dressing, Prostitution, Spoiled Child, Child Abuse, Ensemble, 2013 Oscars Best Picture Nominee",NA
"450","Dec 21, 2012","This is 40","$35,000,000","$11,579,175","$67,544,505","$90,221,182","Play","Comedy","134 minutes","Mid-Life Crisis, Relatives Playing Relatives, Dysfunctional Family, Music Industry, Prostitution, Addiction, Prescription Drug Abuse",NA
"451","Nov 2, 2012","The Man with the Iron Fists","$15,000,000","$7,910,980","$15,634,090","$22,018,988","Play","Action","95 minutes","Martial Arts, Directing Yourself, Screenplay Written By the Star, Addiction, Narcotics, Treasure Hunters","The Man With The Iron Fists"
"452","Sep 28, 2012","Pitch Perfect","$17,000,000","$5,149,433","$65,001,093","$116,044,347","Play","Comedy","112 minutes","College, Musicians, Singers, A Cappella, Tournament, Underdog, Romance, Intertitle, LGBT, Dysfunctional Family, Voiceover/Narration, Gratuitous Cameos, Outtakes During Credits, Digital Cinematography","Pitch Perfect"
"453","Aug 10, 2012","The Bourne Legacy","$125,000,000","$38,142,825","$113,203,870","$280,355,920","Play","Thriller/Suspense","135 minutes","Secret Agent, Government Corruption, Sequels Without Their Original Stars, Midquel, IMAX: DMR","Bourne"
"454","Jul 6, 2012","Savages","$45,000,000","$16,016,910","$47,323,100","$82,513,490","Play","Thriller/Suspense","130 minutes","Narcotics, Organized Crime, Kidnap, Revenge, Rescue, Love Triangle, Corrupt Cops, Returning Soldiers, Voiceover/Narration, Film Noir",NA
"455","Jun 29, 2012","Ted","$50,000,000","$54,415,205","$218,665,740","$556,016,627","Play","Adventure","106 minutes","Living Toys, Romance, Delayed Adulthood, Directing Yourself, Screenplay Written By the Star, Prologue, Epilogue, Spoiled Child","Ted"
"456","May 18, 2012","Battleship","$220,000,000","$25,534,825","$65,233,400","$313,477,717","Play","Action","130 minutes","Epilogue, Prologue, Confined to a Wheelchair, Alien Invasion, Visual Effects, Scene in End Credits, End of the World, Toy Adaptations, On a Boat, 3-D, IMAX: DMR",NA
"457","Apr 27, 2012","The Five-Year Engagement","$30,000,000","$10,610,060","$28,700,285","$61,623,819","Play","Romantic Comedy","124 minutes","Romance, Wedding Day, In-Laws / Future In-Laws, Religious, Dysfunctional Family",NA
"458","Apr 6, 2012","American Reunion","$50,000,000","$21,514,080","$56,758,835","$236,799,211","Play","Comedy","112 minutes","Delayed Adulthood, Delayed Sequel, Family Reunion, High School Reunions","American Pie"
"459","Feb 10, 2012","Safe House","$85,000,000","$40,172,720","$126,181,630","$208,542,162","Play","Thriller/Suspense","114 minutes","Secret Agent, Corrupt Cops, Fugitive / On the Run, Surprise Twist, Intertitle, Government Corruption, Voiceover/Narration, Car Chase","Safe House"
"460","Feb 3, 2012","Big Miracle","$40,000,000","$7,760,205","$20,157,300","$25,268,680","Play","Drama","117 minutes","Animal Lead, Rescue, TV Industry, News, Environment, Political",NA
"461","Jan 13, 2012","Contraband","$25,000,000","$24,349,815","$66,528,000","$98,406,855","Play","Action","109 minutes","Surprise Twist, Organized Crime, Out of Retirement, One Last Job, Foreign-Language Remake, Prologue, Revenge, Addiction, Narcotics",NA
"462","Oct 14, 2011","The Thing","$38,000,000","$8,493,665","$16,999,934","$27,573,078","Play","Horror","102 minutes","Alien Invasion, Doppelganger, One Location, Marooned, Foreign Language, Delayed Sequel, Prequel, Academics, Shapeshifter, Parasite, Isolation Horror, Monster, Body Horror","The Thing"
"463","Aug 12, 2011","Senna","","$73,497","$1,612,430","$10,924,647","","Documentary","104 minutes","Auto Racing, Accidental Death, Biography, Monte Carlo",NA
"464","Aug 5, 2011","The Change-Up","$52,000,000","$13,531,115","$37,243,418","$75,997,067","Play","Comedy","114 minutes","Body Swap, Mid-Life Crisis, Relationships Gone Wrong, Delayed Adulthood, Performing Arts, Dysfunctional Family, Buddy Comedy, One Night Stand",NA
"465","May 13, 2011","Bridesmaids","$32,500,000","$26,247,410","$169,211,718","$289,632,023","Play","Comedy","120 minutes","Wedding Planning, Wedding Day, Judd Apatow Buddy Comedy, Buddy Comedy, Ensemble, Delayed Adulthood, Bachelor Party, Improvised, Epilogue, Flight Attendant",NA
"466","Apr 29, 2011","Fast Five","$125,000,000","$86,198,765","$210,031,325","$630,163,454","Play","Action","130 minutes","Street Racing, Car Chase, Gangs, Prequel, Fugitive / On the Run, Revenge, Rescue, Foreign Language, Organized Crime, Corrupt Cops, Epilogue, One Last Job, Ensemble, IMAX: DMR, Monte Carlo","Fast and the Furious"
"467","Apr 8, 2011","Your Highness","$50,000,000","$9,360,020","$21,596,445","$26,121,638","Play","Comedy","102 minutes","Sword & Sorcerer, Narcotics, Kidnap, Rescue, Prince/Princess, Delayed Adulthood, Voiceover/Narration, Intertitle, Prologue, Dysfunctional Family, Wedding Day, Buddy Comedy, Road Trip, LGBT, Visual Effects, Stoner Comedy, Intentionally Anachronistic",NA
"468","Mar 4, 2011","The Adjustment Bureau","$50,200,000","$21,157,730","$62,495,645","$126,931,325","Play","Thriller/Suspense","105 minutes","Romance, Religious, Angels, Dancing, Political, Fate or Destiny, Alternate or Altered Realities, Gratuitous Cameos",NA
"469","Aug 13, 2010","Scott Pilgrim vs. The World","$85,000,000","$10,609,795","$31,611,316","$48,056,764","Play","Comedy","112 minutes","Video Game, Musicians, Independent/Other Comics, Relationships Gone Wrong, Music Industry, Martial Arts, Visual Effects",NA
"470","Jul 9, 2010","Despicable Me","$69,000,000","$56,397,125","$251,513,985","$543,464,573","Play","Adventure","95 minutes","Villain's Point of View, 3-D","Despicable Me"
"471","Jun 4, 2010","Get Him to the Greek","$40,000,000","$17,570,955","$61,153,526","$91,455,875","Play","Comedy","108 minutes","Judd Apatow Buddy Comedy, Rock 'n' Roll, Road Trip, Music Industry, Gratuitous Cameos, Dysfunctional Family, Comeback",NA
"472","Mar 12, 2010","Green Zone","$100,000,000","$14,309,295","$35,497,337","$97,523,020","Play","Drama","114 minutes","War",NA
"473","Feb 12, 2010","The Wolfman","$150,000,000","$31,479,235","$62,189,884","$142,634,358","","Horror","102 minutes","Werewolf",NA
"474","Dec 25, 2009","It’s Complicated","$85,000,000","$22,100,820","$112,735,375","$224,614,744","Play","Romantic Comedy","118 minutes","Romance",NA
"475","Jul 31, 2009","Funny People","$72,500,000","$22,657,780","$51,855,045","$71,880,305","","Comedy","146 minutes","Terminal Illness",NA
"476","Jul 10, 2009","Brüno","$42,000,000","$30,619,130","$60,054,530","$138,708,527","Play","Comedy","82 minutes",NA,NA
"477","Jul 1, 2009","Public Enemies","$102,500,000","$25,271,675","$97,104,620","$212,282,709","","Drama","140 minutes",NA,NA
"478","Jun 5, 2009","Land of the Lost","$100,000,000","$18,837,350","$49,438,370","$69,548,641","","Comedy","102 minutes",NA,NA
"479","Apr 17, 2009","State of Play","$60,000,000","$14,071,280","$37,017,955","$88,832,210","","Thriller/Suspense","127 minutes","Political",NA
"480","Apr 3, 2009","Fast & Furious","$85,000,000","$70,950,500","$155,064,265","$363,064,265","","Action","107 minutes",NA,"Fast and the Furious"
"481","Dec 19, 2008","The Tale of Despereaux","$60,000,000","$10,103,675","$50,877,145","$90,482,317","","Adventure","93 minutes","Talking Animals, Animal Lead",NA
"482","Nov 7, 2008","Role Models","$28,000,000","$19,167,085","$67,300,955","$94,500,826","","Comedy","99 minutes","Bad Role Models, LARP",NA
"483","Oct 24, 2008","Changeling","$55,000,000","$489,015","$35,739,802","$113,805,580","","Thriller/Suspense","142 minutes",NA,NA
"484","Jul 18, 2008","Mamma Mia!","$52,000,000","$27,751,240","$144,130,063","$615,748,772","","Musical","108 minutes","Unexpected Families","Mamma Mia"
"485","Jun 27, 2008","Wanted","$75,000,000","$50,927,085","$134,508,551","$342,416,460","","Action","110 minutes","Hitmen, Revenge",NA
"486","Jun 13, 2008","The Incredible Hulk","$137,500,000","$55,414,050","$134,806,913","$265,573,859","","Adventure","112 minutes","Marvel Comics, Mutants, Gratuitous Cameos, Fugitive / On the Run, Medical and Hospitals, Brazil, Intertitle, Super Soldiers, Special Ops, Super Soldier Serum, Human Experimentation","HulkMarvel Cinematic Universe"
"487","Apr 18, 2008","Forgetting Sarah Marshall","$30,000,000","$17,725,330","$63,172,463","$105,173,042","","Comedy","112 minutes","Relationships Gone Wrong, Judd Apatow Buddy Comedy",NA
"488","Apr 4, 2008","Leatherheads","$58,000,000","$12,682,595","$31,373,938","$41,348,628","","Romantic Comedy","114 minutes","Football, News, World War I, Romance",NA
